Project Name,Suspect USDT support?,Skip,Added,Web3 but no stablecoin,General Stablecoin Adoption,To be Added,Processed?,In Admin,TG/TON appstore (no main URL),Final Status,Website,X Link,X Handle,Telegram,Category,Release Date,Product Status,The Grid Status,Profile Name,Root ID,Matched URL,Matched via,Ecosystem/Chain,Source,Notes,Evidence & Source URLs
Gavun Wud,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,https://x.com/gavunwud,,Gaming,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Polkadot fownder & cheef arkitukt memecoin.,
GLMR APES & The Great Escape,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.glmrapes.com/,,https://twitter.com/mar1dev,,Gaming,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,The first web3 NFT game deployed on the Moonbeam.,
Heal3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://heal3.com/,,,,Gaming,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Game-fi to promote healthy habits.,
Moonfit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://moonfit.xyz/,,,,Gaming,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Earn rewards for burning calories.,
Pink,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://dotispink.com/,,https://x.com/pinkonomic,,Gaming,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Join the Gameme Party to collect Pink Points,
Hyperbridge,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://app.hyperbridge.network/,,,,Bridges,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Cross-chain interoperability solution within the Polkadot ecosystem.,
Snowbridge,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://app.snowbridge.network/,,,,Bridges,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Fully trustless bridge between Polkadot and Ethereum.,
Axelar,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,Bridges,,,✅ Found,Axelar,id1741703143-tjYfPb1sSf2HdTCz4qJelQ,https://admin.thegrid.id/profiles/?rootId=id1741703143-tjYfPb1sSf2HdTCz4qJelQ,Name: Profile,polkadot,https://polkadotecosystem.com/#explore,Axelar prioritizes security and decentralization. The network’s security mechanisms include:,
Chainflip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://swap.chainflip.io/,,,,Bridges,,,✅ Found,Chainflip,1637,https://admin.thegrid.id/profiles/?rootId=1637,Name: Profile,polkadot,https://polkadotecosystem.com/#explore,Cross-chain swaps with accurate pricing and minimal slippage.,
Darwinia,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://apps.darwinia.network/,,,,Bridges,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Powering the cross-chain capabilities of decentralized applications.,
HoudiniSwap,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://houdiniswap.com/?tokenIn=DOT&tokenOut=SOL,,https://x.com/HoudiniSwap,,Bridges,,,✅ Found,Houdini Swap,id1761945720-t-MHcpaITCqtXg68z4Mrmw,https://admin.thegrid.id/profiles/?rootId=id1761945720-t-MHcpaITCqtXg68z4Mrmw,Social Handle: Socials Lens - Twitter / X,polkadot,https://polkadotecosystem.com/#explore,swap in crypto for any chain.,
Turtle,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://turtle.cool/,,https://x.com/TurtlecoolApp,,Bridges,,,✅ Found,Turtle,id1757696094-EDXjVivfRIyUH9WpTYtVdQ,https://admin.thegrid.id/profiles/?rootId=id1757696094-EDXjVivfRIyUH9WpTYtVdQ,Name: Profile,polkadot,https://polkadotecosystem.com/#explore,The Unified Bridge UI.,
Wormhole,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,Bridges,,,✅ Found,Wormhole,18,https://admin.thegrid.id/profiles/?rootId=18,Name: Profile,polkadot,https://polkadotecosystem.com/#explore,If you bridge fromEthereum → Polkadot:,
peaq Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://portal.peaq.network/,,https://t.co/Y0743A8fhl,,DePin,,,✅ Found,Peaq,id1748266713-ZXFn_gByQKalJnGcJzML8Q,https://admin.thegrid.id/profiles/?rootId=id1748266713-ZXFn_gByQKalJnGcJzML8Q,Name: Product,polkadot,https://polkadotecosystem.com/#explore,Powering the Machine Economy.,
Acurast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,,,,,DePin,,,✅ Found,Acurast,id1740086060--h7Gam5ZRqCERjefBNOH4g,https://admin.thegrid.id/profiles/?rootId=id1740086060--h7Gam5ZRqCERjefBNOH4g,Name: Profile,polkadot,https://polkadotecosystem.com/#explore,A decentralized serverless cloud.,
Crust Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.crust.network/,,,,DePin,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,A decentralized cloud storage network,
Energy Web X,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://docs.energyweb.org/,,https://www.energywebx.com/,,DePin,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Navigate the energy transition.,
Giant Protocol,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://app.giantprotocol.org/,,,,DePin,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Democratize access to internet connectivity.,
Mapmetrics,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://mapmetrics.org/,,https://x.com/MapMetrics,,DePin,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Drive-to-earn crypto navigation app.,
Robonomics,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://robonomics.network/,,https://twitter.com/EnsRationis/status/1876721406953783764?ref_src=twsrc%5Etfw,,DePin,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Robots within web3 technologies.,
Silencio Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.silencio.network/,,https://x.com/silencioNetwork,,DePin,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Measure Noise Levels. Get Rewarded.,
Avail Project,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.availproject.org/,,,,DePin,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,The Unification Layer for Web3,
CESS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://doc.cess.network/,,,,DePin,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Cumulus Encrypted Storage System,
Midnight Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://midnight.network/,,,,DePin,,,✅ Found,Midnight Network,1735,https://admin.thegrid.id/profiles/?rootId=1735,URL: urlMain,polkadot,https://polkadotecosystem.com/#explore,A data-protection blockchain,
ArtZero,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://a0.artzero.io/,,,,NFTs,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,NFT marketplace built with Ink!,
Chaotic,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,https://x.com/ChaoticApp,,NFTs,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Chaotic on Polkadot NFTs,
DeStore,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://destore.network/,,,,NFTs,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Empowering businesses with no-code Web3.,
DOT Memo,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://dotmemo.xyz/,,,,NFTs,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Capturing Digital Memories on Polkadot,
Kodadot,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://docs.kodadot.xyz/,,,,NFTs,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,An open-source; multi-chain NFT marketplace.,
Singular NFT Marketplace,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://singular.app/,,,,NFTs,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,A Modular NFT marketplace.,
Unique Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://unqnft.io/,,,,NFTs,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,A Polkadot blockchain platform for NFTs.,
Neuroweb,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://neuroweb.ai/,,,,AI,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Knowledge is the new asset class. Mine it.,
Cyborg Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.cyborgnetwork.io/,,https://x.com/Cyborg_network_,,AI,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Decentralized Edge Computing.,
Phala Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://phala.network/,,,,AI,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,AI in the Web3 space.,
Bittensor,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://bittensor.com/,,,,AI,,,✅ Found,Bittensor,id1748266736-cXbycIcXTFiFnTZjUyBm7g,https://admin.thegrid.id/profiles/?rootId=id1748266736-cXbycIcXTFiFnTZjUyBm7g,URL: urlMain,polkadot,https://polkadotecosystem.com/#explore,Decentralized machine learning and artificial intelligence,
Centrifuge,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://app.centrifuge.io/,,,,RWA,,,✅ Found,Centrifuge,id1750428601-SuFLaA9wTkeC2YGeDjt1XQ,https://admin.thegrid.id/profiles/?rootId=id1750428601-SuFLaA9wTkeC2YGeDjt1XQ,Name: Profile,polkadot,https://polkadotecosystem.com/#explore,The platform for onchain finance.,
Xcavate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://xcavate.io/,,,,RWA,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Real estate investment with blockchain technology.,
Curio Chain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://capitaldex.exchange/,,,,RWA,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Unlocking the Potential of Real-World Assets with Curio.,
G6 Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://g6.network/,,,,RWA,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Simplifying Blockchain for Real-World Integration.,
Unit Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://unit.network/,,,,RWA,,,✅ Found,Unit Network,id1748953867-5xYMwNyzTdSRT0Ptjd7jtQ,https://admin.thegrid.id/profiles/?rootId=id1748953867-5xYMwNyzTdSRT0Ptjd7jtQ,URL: urlMain,polkadot,https://polkadotecosystem.com/#explore,Integrating real-world businesses with blockchain.,
Encointer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://book.encointer.org/,,,,Social,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Communities Own Currency,
Entropretty,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,https://x.com/entropretty,,Social,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Algorithmic Tattoos for Proof-of-Personhood on Polkadot,
Frequency,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://docs.frequency.xyz/,,,,Social,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,A DSNP L1 Blockchain,
Heima,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,https://x.com/heimaNetwork,,Social,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,A decentralized; cross-chain identity aggregator protocol.,
Joystream,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://handbook.joystream.org/,,,,Social,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,User-owned and operated video platform .,
Kilt Protocol,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://docs.kilt.io/,,,,Social,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Unleash Self-Sovereign Identity on Polkadot.,
Mandala Chain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://docs.mandalachain.io/mandalachain,,,,Social,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Onboarding the Next 100M Web3 Users,
Mewe,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,https://x.com/mewe,,Social,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Real Connections; Real Communities.,
Polkaidentity,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://polkaidentity.com/,,https://x.com/PolkaIdentity,,Social,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Empowering Web3 with Decentralized Identity Solutions,
Virto Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://virto.network/en/docs/whitepaper,,,,Social,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Decentralized marketplaces empowering communities.,
Moonbeam Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://docs.moonbeam.network/,,,,Smart Contracts,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,A smart contract platform for cross-chain connected applications.,
Astar Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://astar.network/,,,,Smart Contracts,,,✅ Found,Astar Network,id1768632147-MuEZhT_NS3uChFNyb0DNjg,https://admin.thegrid.id/profiles/?rootId=id1768632147-MuEZhT_NS3uChFNyb0DNjg,URL: urlMain,polkadot,https://polkadotecosystem.com/#explore,A Scalable Network Powering a Global Web3 Vision for All.,
Aleph Zero,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://docs.alephzero.org/aleph-zero,,,,Smart Contracts,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Privacy-enhancing; scalable blockchain platform,
QF Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://qfnetwork.xyz/,,https://x.com/theqfnetwork,,Smart Contracts,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Quantum Fusion Network,
Sora Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://wiki.sora.org/,,,,Smart Contracts,,,✅ Found,SORA,id1767773564-L-rSG5wHQRKu7ERgbXyGow,https://admin.thegrid.id/profiles/?rootId=id1767773564-L-rSG5wHQRKu7ERgbXyGow,Name: Product,polkadot,https://polkadotecosystem.com/#explore,An adaptive; non-debt-based monetary framework.,
Ternoa,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://docs.ternoa.network/,,,,Smart Contracts,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Decentralized TEE Network powered by SGX for a secure and trustless future,
Archisinal,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.archisinal.io/,,,,Miscellaneous,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Blockchain technology to AEC.,
Ava Protocol,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://avaprotocol.org/,,,,Miscellaneous,,,✅ Found,Ava Protocol,1742,https://admin.thegrid.id/profiles/?rootId=1742,URL: urlMain,polkadot,https://polkadotecosystem.com/#explore,Enhance cross-chain functions with private autonomous transactions,
Aventus Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://github.com/AventusProtocolFoundation,,,,Miscellaneous,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,A Scalable Network Powering a Global Web3 Vision for All.,
Composable Finance,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Added,https://www.composablefoundation.com/,,,,Miscellaneous,,,✅ Found,Composable Finance,222,https://admin.thegrid.id/profiles/?rootId=222,Name: Profile,polkadot,https://polkadotecosystem.com/#explore,Protocol security (Restaking) & chain abstraction,
Ideal Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://idealabs.network/,,,,Miscellaneous,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Revolutionizing Decentralized Randomness.,
Jamton,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://app.jamton.network/,,https://x.com/JamtonNetwork,,Miscellaneous,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,TON-DOT liquidity for liquid staking,
LAOS Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.laosnetwork.io/,,,,Miscellaneous,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Universal L1 for Digital Assets Across All Blockchains,
Mubert,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://mubert.com/render,,https://x.com/mubertapp,,Miscellaneous,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,On-chain IP for generative music,
RegionX,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://app.regionx.tech/,,https://twitter.com/RegionXLabs%0A?ref_src=twsrc%5Etfw,,Miscellaneous,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Trade Polkadot blockspace.,
xx Network,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://xx.network/,,,,Miscellaneous,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Fast; full-stack; linear scalable & quantum-ready.,
T3rn,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.t3rn.io/,,,,Miscellaneous,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Execute smart contracts across multiple blockchains,
Taiga Protocol,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://www.taigaprotocol.io/,,,,Miscellaneous,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Unified Liquidity Standard for DOT & KSM Staking,
Chainviz,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://chainviz.app/,,,,Miscellaneous,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Blockchain Visualization in Real-Time.,
Fidi Web3 Analytics,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://dot.fidi.tech/v2,,,,Miscellaneous,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,FiDi’s platform is equipped with several key features that enhance its usability and effectiveness:,
Polkadot Staking Dashboard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,Miscellaneous,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,PlayPolkadot Staking DOT in under 3 minutes!,
Polkadot Telemetry,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,,,,,Miscellaneous,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,PreviousStaking DashboardNextPolkatax,
Polkatax,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://github.com/loanMaster/polkatax,,https://polkatax.com/,,Miscellaneous,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Track and Export Staking Rewards.,
Polkawatch,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://polkawatch.app/,,https://x.com/polkawatch,,Miscellaneous,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,A Polkadot decentralization analytics platform.,
Staking Rewards collector,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Not Processed,https://github.com/w3f/staking-rewards-collector,,,,Miscellaneous,,,❌ Not found,,,,,polkadot,https://polkadotecosystem.com/#explore,Track staking rewards across multiple networks.,
